name,phone_num,address,sido,sigungu
24시루시드동물메디컬센터,02-941-7900,서울특별시 강북구 미아동 42번지 11호 덕신빌딩 4층,서울특별시,강북구
24시센트럴동물메디컬센터,02-3395-7975,서울특별시 성동구 행당동 318번지 36호,서울특별시,성동구
24시스마트동물메디컬센터,02-387-7582,서울특별시 은평구 응암동 91번지 5호,서울특별시,은평구
24시아프리카동물메디컬센터,3665-7975,서울특별시 강서구 등촌동 우장산롯데캐슬 307 1003,서울특별시,강서구
24시예담동물의료센터,0269527519,서울특별시 은평구 역촌동 7번지 15호 대광빌딩,서울특별시,은평구
24시예스동물병원,534-3475,서울특별시 서초구 반포동 20번지 45호 반포자이프라자 133호,서울특별시,서초구
24시월드펫동물메디컬센터,0226987582,서울특별시 양천구 신월동 602번지 1호,서울특별시,양천구
24시잠실ON동물의료센터,02-418-0724,서울특별시 송파구 잠실동 175번지 6호 J타워,서울특별시,송파구
25시동물병원,935-0075,서울특별시 노원구 중계동 363번지 대림벽산상가,서울특별시,노원구
25시동물의료센터,02-419-1351,서울특별시 송파구 삼전동 5번지 3호 남관빌딩,서울특별시,송파구
365 마음동물병원,02-2611-5223,서울특별시 구로구 궁동 170번지 11호 2층,서울특별시,구로구
365동물병원,02-6402-0365,서울특별시 도봉구 방학동 713번지 35호,서울특별시,도봉구
C.T.종합동물병원,02-6375-0075,서울특별시 마포구 신공덕동 159번지 신공덕2차삼성래미안,서울특별시,마포구
CH동물병원,02-488-7510,서울특별시 강동구 천호동 233번지 145호 19통 4반,서울특별시,강동구
DS동물병원,02-837-0837,서울특별시 관악구 신림동 1668번지 14호 1층,서울특별시,관악구
Dr.수동물병원,02-785-7582,서울특별시 영등포구 여의도동 42번지 한양아파트,서울특별시,영등포구
Dr.윤24시동물병원,02-359-2020,서울특별시 은평구 대조동 187번지 24호,서울특별시,은평구
Dr.주 동물병원,02-470-0030,서울특별시 강동구 둔촌동 517번지 4호,서울특별시,강동구
GD동물병원,02-429-8822,서울특별시 강동구 상일동 341번지 2호,서울특별시,강동구
H 동물병원,02-984-7588,서울특별시 강북구 미아동 1357번지 6호 미아프라자,서울특별시,강북구
I-pet 동물병원,786-7582,서울특별시 영등포구 여의도동 47번지 여의도자이,서울특별시,영등포구
LOVE MY PET 동물병원,382-7582,서울특별시 은평구 응암동 74번지 14호,서울특별시,은평구
SKY동물병원,2666-5667,서울특별시 강서구 방화동 259번지 대림아파트 208 801,서울특별시,강서구
VIP 동물의료센터,953-0075,서울특별시 성북구 동소문동6가 3번지 1호 시티플레이스,서울특별시,성북구
VIP 반려동물 암센터,02-511-7522,서울특별시 강남구 청담동 46번지 베디베로스퀘어 2층,서울특별시,강남구
VIP동물의료센터,02-2215-7522,서울특별시 동대문구 장안동 376번지 3호,서울특별시,동대문구
VIP동물의료센터 서초동작점,02-525-3102,"서울특별시 서초구 방배동 442번지 3호 대광빌딩 1,2층",서울특별시,서초구
VIP동물의료센터 청담점,02-511-7522,서울특별시 강남구 청담동 46번지 베디베로스퀘어,서울특별시,강남구
VIP동물한방재활의학센터by.Dr.신사경,02-511-7522,서울특별시 강남구 청담동 46번지 베디베로스퀘어 7층,서울특별시,강남구
ZOO동물병원,914-5545,서울특별시 성북구 정릉동 16번지 162호,서울특별시,성북구
가나동물병원,02-441-8588,서울특별시 강동구 암사동 451번지 12호 5통 8반,서울특별시,강동구
가나동물병원,3491-4748,서울특별시 도봉구 방학동 665번지 11호 2통 6반 삼익세라믹아파트 105 503,서울특별시,도봉구
가나종합동물병원,2645-7588,서울특별시 양천구 목동 907번지 현대월드타워,서울특별시,양천구
가든펫동물병원,02-373-5555,서울특별시 은평구 증산동 202번지 27호 지하1층,서울특별시,은평구
가락종합동물병원,02-413-0075,서울특별시 송파구 방이동 226번지 7호 건양빌딩,서울특별시,송파구
가람동물병원,02-484-5502,서울특별시 강동구 성내동 550번지 2호 예원빌딩,서울특별시,강동구
가로수동물병원,549-7579,서울특별시 강남구 신사동 549번지 1호 1층,서울특별시,강남구
가양쿨펫동물병원,3665-1838,서울특별시 강서구 가양동 17번지 파크리오 119 403,서울특별시,강서구
가온동물병원,02-2643-2777,서울특별시 양천구 목동 721번지 1호 목동한강팰리스,서울특별시,양천구
가온동물병원,02-6953-7512,서울특별시 강동구 고덕동 172번지 9호,서울특별시,강동구
가재울봉쥬르동물병원,02-305-8275,서울특별시 서대문구 북가좌동 304번지 29호,서울특별시,서대문구
가좌동물병원,307-4633,서울특별시 서대문구 북가좌동 308번지 1호,서울특별시,서대문구
강남25동물병원,02-545-8575,서울특별시 강남구 논현동 90번지 6호 로이빌딩,서울특별시,강남구
강남다온동물병원,02-576-1239,"서울특별시 강남구 도곡동 545번지 6호 1층,2층",서울특별시,강남구
강남동물병원,514-7582,서울특별시 강남구 논현동 234번지 26호 상하빌딩 1층,서울특별시,강남구
강남예치과동물병원,02-517-5585,서울특별시 강남구 삼성동 9번지 5호,서울특별시,강남구
강동24시 SKY 동물의료센터,02-472-7579,서울특별시 강동구 성내동 244번지 2호,서울특별시,강동구
강동동물병원,02-472-7343,서울특별시 강동구 길동 336번지 4호,서울특별시,강동구
강북 24시 N 동물의료센터,984-0075,서울특별시 성북구 길음동 1163번지,서울특별시,성북구
강북동물병원,985-7525,서울특별시 강북구 번동 309번지 덕수빌딩 1층,서울특별시,강북구
강북동물병원,924-4555,서울특별시 성북구 종암동 19번지 1호,서울특별시,성북구
강서YD동물의료센터,02-518-7500,서울특별시 강서구 등촌동 658번지 4호,서울특별시,강서구
강서동물병원,2691-5900,서울특별시 강서구 화곡동 421번지 23호,서울특별시,강서구
강앤정 동물병원,02-305-7505,서울특별시 서대문구 남가좌동 385번지 DMC파크뷰자이,서울특별시,서대문구
강현림 종합동물병원,2642-9159,서울특별시 양천구 목동 657번지 16호,서울특별시,양천구
개명동물병원,2619-0888,서울특별시 구로구 개봉동 403번지 138호,서울특별시,구로구
개봉동물병원,2615-5014,서울특별시 구로구 고척동 265번지 4호 28통 8반,서울특별시,구로구
개와냥이동물병원,02-352-7275,서울특별시 은평구 대조동 14번지 27호 2층,서울특별시,은평구
개포동물병원,02-3412-7582,서울특별시 강남구 개포동 186번지 17호 개포종합상가 1층,서울특별시,강남구
개포별빛동물병원,573-7582,서울특별시 강남구 개포동 1229번지 11호 동성빌딩1층,서울특별시,강남구
건국대학교 부속 동물병원,450-0472,서울특별시 광진구 화양동 1번지,서울특별시,광진구
경인동물의료센터,02-571-8275,서울특별시 영등포구 영등포동 423번지 44호 1층,서울특별시,영등포구
고덕 고래힐동물병원,02-441-5515,"서울특별시 강동구 고덕동 688번지 래미안힐스테이트고덕 상가 2층 212,213호",서울특별시,강동구
고덕 동물의료센터,02-441-7585,서울특별시 강동구 고덕동 210번지 1호 고덕센트럴푸르지오,서울특별시,강동구
고득영동물병원,2608-0973,서울특별시 강서구 화곡동 861번지 8호 9통 2반,서울특별시,강서구
고려동물병원,3391-0075,서울특별시 노원구 상계동 79번지 145호 44통 4반,서울특별시,노원구
고려종합동물병원,02-3661-8200,서울특별시 강서구 가양동 1480번지 5호,서울특별시,강서구
고려종합동물병원,02-575-7999,서울특별시 강남구 도곡동 527번지 3호 도곡렉슬아파트 상가 109,서울특별시,강남구
고척원동물의료센터,028567582,서울특별시 구로구 고척동 76번지 38호 원메디타운,서울특별시,구로구
골드퍼피동물병원 공릉점,02-971-5955,서울특별시 노원구 공릉동 596번지 5호,서울특별시,노원구
공덕 건강한 동물병원,02-701-0705,서울특별시 마포구 공덕동 256번지 13호 제일빌딩,서울특별시,마포구
공원옆동물의료센터,02-2650-8275,서울특별시 양천구 신정동 321번지 6호 센트럴프라자,서울특별시,양천구
관악동물종합병원,02-883-2733,서울특별시 관악구 봉천동 1665번지 4호,서울특별시,관악구
광진24시필동물병원,02-446-8175,서울특별시 광진구 구의동 611번지 구의현대2단지아파트,서울특별시,광진구
광진동물의료센터,02-457-4545,서울특별시 광진구 구의동 68번지 37호,서울특별시,광진구
광진동물의료센터,457-4545,서울특별시 광진구 구의동 68번지 37호,서울특별시,광진구
광화문동물병원,722-8275,서울특별시 종로구 통인동 147번지 7호 씨에스코즈빌,서울특별시,종로구
교대동물병원,596-1175,서울특별시 서초구 서초동 1690번지 2호 지상1층,서울특별시,서초구
구로다나은동물병원,02-2672-7582,서울특별시 구로구 신도림동 400번지 1호,서울특별시,구로구
구로종합동물병원,2631-0085,"서울특별시 구로구 신도림동 432번지 1호 신도림에스케이뷰 101동 103호, 104호",서울특별시,구로구
구름동물병원,2694-8275,서울특별시 양천구 신정동 1320번지 2호 신정프라자,서울특별시,양천구
굿모닝 동물병원,02-711-3375,서울특별시 마포구 염리동 164번지 4호,서울특별시,마포구
굿모닝 동물병원,2060-8673,서울특별시 구로구 개봉동 353번지 15호,서울특별시,구로구
굿모닝동물병원,02-548-5466,서울특별시 강남구 청담동 44번지 15호,서울특별시,강남구
굿모닝동물병원,2665-8256,서울특별시 강서구 방화동 1265번지 숲속마을 402 502,서울특별시,강서구
굿파파 24시 반려동물건강검진센터,02-593-8275,서울특별시 동작구 사당동 148번지 9호 1층 및 2층,서울특별시,동작구
그랜드동물병원,02-2214-6129,서울특별시 동대문구 답십리동 250번지 1호,서울특별시,동대문구
그레이동물병원 강남점,02-529-7587,"서울특별시 강남구 도곡동 467번지 7호 아카데미스위트 에이동 104, 202호",서울특별시,강남구
그레이스 동물병원,02-3442-5554,서울특별시 강남구 논현동 122번지 20호 1층,서울특별시,강남구
그린동물병원,856-4113,서울특별시 금천구 독산동 193번지 31호,서울특별시,금천구
그린동물병원,02-957-7075,서울특별시 동대문구 용두동 790번지 롯데캐슬피렌체,서울특별시,동대문구
그린동물병원,02-936-0907,서울특별시 노원구 상계동 78번지 진로유통조합아파트,서울특별시,노원구
그림책 읽어주는 동물병원,02-6933-0113,서울특별시 영등포구 당산동4가 94번지 1호 당산2차삼성아파트,서울특별시,영등포구
금강동물병원,798-7512,"서울특별시 용산구 이촌동 301번지 263호 렉스상가 8-1,8-2호",서울특별시,용산구
금강종합동물병원,2686-8008,서울특별시 구로구 오류동 48번지 1호,서울특별시,구로구
금나래동물병원,809-0075,서울특별시 금천구 독산동 1150번지 금천롯데캐슬골드파크2차,서울특별시,금천구
금란동물병원,492-7582,서울특별시 중랑구 망우동 364번지 27호 금란동물병원,서울특별시,중랑구
금쪽같은내새끼 동물병원,384-7743,서울특별시 은평구 갈현동 462번지 25호,서울특별시,은평구
금천 24시 K동물의료센터,02-808-2475,서울특별시 금천구 시흥동 999번지 1호,서울특별시,금천구
금천동물병원,894-8085,서울특별시 금천구 독산동 378번지 397호,서울특별시,금천구
금호동물병원,0222810049,서울특별시 성동구 금호동2가 1217번지 래미안하이리버 상가동,서울특별시,성동구
기린동물병원,02-2291-8275,서울특별시 성동구 마장동 791번지 9호,서울특별시,성동구
길음동물병원,913-1874,서울특별시 성북구 길음동 1276번지,서울특별시,성북구
길종합동물병원,02-484-0075,서울특별시 강동구 길동 151번지,서울특별시,강동구
김미경 동물병원,955-6530,서울특별시 도봉구 도봉동 636번지 12호 킴스타워,서울특별시,도봉구
김민재동물병원,02-443-8973,서울특별시 송파구 오금동 120번지 7호,서울특별시,송파구
김정복동물병원,357-8538,서울특별시 은평구 갈현동 394번지 19호,서울특별시,은평구
김태화동물병원,02-486-4252,서울특별시 강동구 둔촌동 53번지 원경빌딩,서울특별시,강동구
꿈꾸는 동물병원,592-0202,서울특별시 서초구 반포동 1341번지,서울특별시,서초구
꿈의숲동물병원,02-915-5485,서울특별시 성북구 장위동 319번지 꿈의숲코오롱하늘채아파트 105 112,서울특별시,성북구
꿈이크는 동물병원,02-420-7580,서울특별시 송파구 잠실동 222번지 6호 그린빌딩 1층,서울특별시,송파구
나눔 양한방 동물병원,02-888-0976,서울특별시 관악구 봉천동 1656번지 22호,서울특별시,관악구
나래동물병원,463-3216,서울특별시 광진구 군자동 1번지 2호,서울특별시,광진구
나래종합동물병원,929-5496,서울특별시 성북구 동소문동3가 79번지,서울특별시,성북구
나루동물병원,457-7582,서울특별시 광진구 광장동 582번지,서울특별시,광진구
나리울동물병원,02-423-5755,서울특별시 강남구 일원동 743번지 디에이치 자이 개포,서울특별시,강남구
나무동물병원,02-813-4567,서울특별시 동작구 흑석동 335번지 1호,서울특별시,동작구
나우동물의료센터,02-952-9111,서울특별시 노원구 상계동 1025번지 31호 1층,서울특별시,노원구
나은동물병원,02-577-7582,서울특별시 강남구 개포동 1259번지 4호,서울특별시,강남구
나을동물병원,02-521-5775,서울특별시 동작구 사당동 248번지 5호,서울특별시,동작구
나음동물의료센터,02-2690-9990,서울특별시 강서구 화곡동 1026번지 12호,서울특별시,강서구
날으는 동물병원,02-2135-2225,서울특별시 마포구 공덕동 222번지 2호 공덕 메디힐스 지하1층,서울특별시,마포구
남산동물병원,2256-8275,서울특별시 중구 신당동 844번지 남산타운,서울특별시,중구
남산동물병원,778-7582,서울특별시 용산구 후암동 63번지 1호 지상1층,서울특별시,용산구
남서울동물병원,02-582-2186,서울특별시 서초구 방배동 809번지 1호,서울특별시,서초구
내방동물병원,3473-8274,서울특별시 서초구 방배동 898번지 3호,서울특별시,서초구
넬 동물의료센터,02-6925-4347,서울특별시 성북구 하월곡동 76번지 16호,서울특별시,성북구
노룬산동물병원,464-2748,서울특별시 광진구 자양동 236번지 127호,서울특별시,광진구
노아동물병원,805-4758,서울특별시 금천구 시흥동 262번지 6호,서울특별시,금천구
노아동물병원,02-401-0075,서울특별시 송파구 거여동 562번지 4호,서울특별시,송파구
노아동물병원,0226546183,서울특별시 양천구 신정동 294번지 62호,서울특별시,양천구
노원 바른 동물의료센터,02-936-5500,서울특별시 노원구 상계동 964번지 5호 부흥빌딩,서울특별시,노원구
노원N동물의료센터,919-0075,서울특별시 노원구 상계동 318번지 2호 (주)노원24시동물의료센터,서울특별시,노원구
녹번동물병원,354-4110,서울특별시 은평구 녹번동 117번지 112호,서울특별시,은평구
논현동물병원,02-3442-3785,서울특별시 강남구 논현동 181번지 8호 1층,서울특별시,강남구
놀로동물행동클리닉,02-2237-7582,서울특별시 강남구 청담동 46번지 베디베로스퀘어,서울특별시,강남구
누리봄동물병원,02-735-7530,서울특별시 종로구 내자동 125번지 3호,서울특별시,종로구
뉴욕동물병원,02-762-7582,서울특별시 종로구 혜화동 53번지 11호 2층,서울특별시,종로구
뉴욕종합동물병원,02-333-9558,서울특별시 마포구 서교동 395번지 44호,서울특별시,마포구
뉴월드동물병원,02-2212-5233,서울특별시 동대문구 장안동 186번지 12호,서울특별시,동대문구
뉴타운동물병원,385-8275,서울특별시 은평구 진관동 20번지 상림마을 821동 101호,서울특별시,은평구
늘푸른동물병원,02-449-0101,서울특별시 송파구 오금동 17번지 2호 우일빌딩,서울특별시,송파구
늘푸른동물병원,388-3008,서울특별시 은평구 신사동 20번지 24호,서울특별시,은평구
늘푸른동물병원,02-857-7572,서울특별시 관악구 신림동 727번지 21호 1층,서울특별시,관악구
다니엘동물병원,02-585-0087,서울특별시 서초구 서초동 1486번지 2호 삼양빌딩,서울특별시,서초구
다랑동물병원,02-577-7579,서울특별시 강남구 개포동 1281번지 디에이치아너힐즈,서울특별시,강남구
다루동물병원,02-356-8353,서울특별시 은평구 불광동 554번지 1호 1층,서울특별시,은평구
다솜동물병원,0234777677,서울특별시 은평구 응암동 603번지 52호,서울특별시,은평구
다온동물병원,02-2643-8204,서울특별시 양천구 신정동 1052번지 3호,서울특별시,양천구
다온동물병원,499-7582,서울특별시 광진구 중곡동 193번지 29호,서울특별시,광진구
다움동물병원,02-831-0075,서울특별시 영등포구 신길동 324번지 49호 영민빌딩 1층,서울특별시,영등포구
닥터 아이펫 동물병원,2208-0329,서울특별시 중랑구 상봉동 99번지 10호,서울특별시,중랑구
닥터 호오 동물병원,02-715-0075,서울특별시 마포구 용강동 494번지 68호,서울특별시,마포구
닥터멍동물병원,439-7582,서울특별시 중랑구 면목동 71번지 41호,서울특별시,중랑구
닥터스종합동물병원,02-905-7588,서울특별시 노원구 월계동 292번지 59호 상천빌딩1층,서울특별시,노원구
닥터캣 고양이병원,02-2039-2575,서울특별시 송파구 석촌동 15번지 제우빌딩 2층,서울특별시,송파구
닥터펫동물병원,2643-0283,서울특별시 양천구 목동 919번지 7호 홈플러스목동점,서울특별시,양천구
닥터펫동물의료센터,02-3443-8275,서울특별시 강남구 삼성동 35번지 3호 1층,서울특별시,강남구
닥터표동물병원,02-484-4063,서울특별시 강동구 성내동 322번지 7호 1층,서울특별시,강동구
달래동물의료센터,794-1255,서울특별시 용산구 한남동 707번지 36호 한남프라자 2층,서울특별시,용산구
달링동물병원,02-466-8215,서울특별시 성동구 성수동1가 718번지 트리마제,서울특별시,성동구
담은동물병원,02-356-9475,"서울특별시 은평구 불광동 643번지 북한산 힐스테이트7차, 상가동 지하2층 128호, 지하1층 228호",서울특별시,은평구
당고개동물병원,02-932-7582,서울특별시 노원구 상계동 71번지 225호 23통 5반,서울특별시,노원구
대방동물병원,833-0309,서울특별시 영등포구 신길동 628번지,서울특별시,영등포구
대치동물메디컬센터,02-501-8275,서울특별시 강남구 대치동 990번지 1호 무진빌딩,서울특별시,강남구
대치수동물병원,02-539-3339,"서울특별시 강남구 대치동 316번지 은마상가 1층 B120, B121 101 801",서울특별시,강남구
대학동물병원,918-3344,서울특별시 성북구 장위동 8번지 2호 석계역 한일노벨리아시티,서울특별시,성북구
대학로동물병원,3672-8441,서울특별시 종로구 명륜2가 5번지 99호 1통 3반 방산빌라,서울특별시,종로구
대한동물병원,2263-6134,서울특별시 중구 충무로4가 93번지 1호,서울특별시,중구
대한동물병원,2694-4821,서울특별시 강서구 화곡동 1059번지 51호,서울특별시,강서구
대현동물병원,2651-1855,서울특별시 양천구 목동 531번지 13호,서울특별시,양천구
대형동물병원,998-1785,서울특별시 강북구 수유동 266번지 20호,서울특별시,강북구
더 샵 동물메디컬센터,02-416-7512,서울특별시 송파구 신천동 11번지 4호 잠실 푸르지오 월드마크 상가,서울특별시,송파구
더독동물병원,382-3243,서울특별시 은평구 대조동 224번지 24호,서울특별시,은평구
더벳한남동물병원,02-6956-2280,서울특별시 용산구 한남동 737번지 4호 1층,서울특별시,용산구
더블유동물병원,02-883-0007,서울특별시 관악구 봉천동 622번지 74호,서울특별시,관악구
더조은 동물의료센터,802-2811,서울특별시 금천구 시흥동 904번지 6호 서우빌딩,서울특별시,금천구
더케이동물병원,02-2213-8875,서울특별시 동대문구 답십리동 1003번지 2호 세기프라자,서울특별시,동대문구
더파크동물의료센터,02-6949-2475,서울특별시 강동구 성내동 549번지 1호 씨네월드,서울특별시,강동구
더편한동물병원,02-982-7975,서울특별시 성북구 길음동 498번지 1호 래미안길음센터피스,서울특별시,성북구
더힐동물의료센터,02-792-8275,서울특별시 용산구 한남동 29번지 6호 아이리스프라자 지상3층,서울특별시,용산구
도곡종합동물병원,554-8875,서울특별시 강남구 역삼동 761번지 18호,서울특별시,강남구
도그마루 동물병원,070-4349-3357,서울특별시 송파구 잠실동 242번지 2호,서울특별시,송파구
도그원 동물의료센터,02-358-1591,서울특별시 은평구 갈현동 431번지 5호,서울특별시,은평구
도그플러스 동물병원,3421-9075,서울특별시 중랑구 신내동 645번지 홈플러스 2층,서울특별시,중랑구
도그플러스동물병원,02-2069-0082,서울특별시 영등포구 문래동3가 55번지 3호 4층,서울특별시,영등포구
도담도담동물병원,943-7582,서울특별시 성북구 하월곡동 46번지 73호 코업스타클래스 1층,서울특별시,성북구
도담동물병원,955-8400,서울특별시 도봉구 도봉동 562번지 26호,서울특별시,도봉구
도담동물병원,02-388-0275,서울특별시 은평구 역촌동 51번지 22호,서울특별시,은평구
도림하나동물병원,028497582,서울특별시 영등포구 도림동 216번지 2호,서울특별시,영등포구
도화동물병원,02-712-8875,서울특별시 마포구 도화동 153번지,서울특별시,마포구
독립문동물병원,02-733-5060,서울특별시 서대문구 냉천동 195번지,서울특별시,서대문구
돌봄동물병원,02-426-2775,서울특별시 강동구 암사동 414번지 18호,서울특별시,강동구
동대문 루시드 동물메디컬센터,0262170202,서울특별시 동대문구 답십리동 259번지 22호,서울특별시,동대문구
동물병원 공감,02-484-7975,서울특별시 강동구 천호동 25번지 6호 조희빌딩,서울특별시,강동구
동물병원 닥터K,02-306-1259,서울특별시 마포구 상암동 115번지 11호,서울특별시,마포구
동물병원 비아츠,999-7582,서울특별시 도봉구 쌍문동 474번지 4호,서울특별시,도봉구
동물병원 움,02-6956-7599,서울특별시 은평구 불광동 276번지 32호,서울특별시,은평구
동물병원 위드,907-1565,서울특별시 강북구 수유동 47번지 69호,서울특별시,강북구
동물병원알루,02-402-3270,서울특별시 송파구 문정동 652번지 5호 문정아이파크,서울특별시,송파구
동물병원예지,02-2135-7228,서울특별시 영등포구 대림동 1127번지 e편한세상 영등포 아델포레,서울특별시,영등포구
동물사랑동물병원,02-3142-0008,서울특별시 마포구 망원동 378번지 3호,서울특별시,마포구
동물영상진단센터/나음고양이병원,02-457-0075,서울특별시 강동구 길동 236번지 7호,서울특별시,강동구
동물은내친구,02-582-7708,서울특별시 동작구 사당동 321번지 114호,서울특별시,동작구
동물을사랑하는사람들,990-7588,서울특별시 강북구 번동 471번지 1호,서울특별시,강북구
동물의왕국동물병원,02-406-4814,서울특별시 송파구 거여동 202번지 180호 송파시그니처롯데캐슬,서울특별시,송파구
동물제중원금손이 동물병원,581-5500,서울특별시 서초구 방배동 894번지 2호 선빌딩,서울특별시,서초구
동물치과병원메이,02-797-4408,서울특별시 강남구 역삼동 827번지 67호,서울특별시,강남구
동서울동물병원,444-7533,서울특별시 광진구 광장동 517번지 5호 삼익아파트,서울특별시,광진구
동편동물혈액검진센터,02-588-8661,서울특별시 서초구 방배동 444번지 15호,서울특별시,서초구
두리동물병원,02-449-8575,서울특별시 송파구 마천동 161번지 2호,서울특별시,송파구
두리종합동물병원,02-3476-7522,서울특별시 서초구 반포동 18번지 3호 래미안퍼스티지 중심상가,서울특별시,서초구
두리틀동물병원,302-3275,서울특별시 서대문구 북가좌동 306번지 21호,서울특별시,서대문구
두암동물병원,8464597,서울특별시 양천구 목동 507번지 2호 덕수프라자,서울특별시,양천구
둔촌동물병원,02-474-5100,서울특별시 강동구 성내동 415번지 1호,서울특별시,강동구
둘레길동물병원,02-354-7544,서울특별시 은평구 불광동 104번지 94호,서울특별시,은평구
둘리동물병원,993-0075,서울특별시 도봉구 창동 661번지 64호,서울특별시,도봉구
드림동물병원,928-7582,서울특별시 성북구 동소문동5가 8번지 1호,서울특별시,성북구
드림동물병원,02-508-7583,"서울특별시 강남구 역삼동 771번지 101호,102호",서울특별시,강남구
드림동물병원,0236660204,서울특별시 구로구 고척동 343번지 고척 월드메르디앙 109 5,서울특별시,구로구
드림펫 동물병원,464-7588,서울특별시 광진구 중곡동 166번지 6호,서울특별시,광진구
디아나동물병원,025219010,서울특별시 서초구 방배동 925번지 8호,서울특별시,서초구
디아동물병원,02-572-2772,서울특별시 강남구 개포동 158번지 8호,서울특별시,강남구
디아크동물병원,02-960-7501,서울특별시 동대문구 청량리동 400번지,서울특별시,동대문구
디아크동물종합병원,02-816-7582,서울특별시 동작구 노량진동 246번지 1호,서울특별시,동작구
디엔씨동물병원,02-717-7571,서울특별시 마포구 노고산동 1번지 67호,서울특별시,마포구
디오빌 동물병원,02-2671-0026,서울특별시 영등포구 당산동5가 11번지 33호 당산디오빌,서울특별시,영등포구
땅콩 동물병원,02-3665-7588,서울특별시 강서구 마곡동 799번지 2호 푸리마타워,서울특별시,강서구
땅콩동물병원,02-3394-7075,서울특별시 동대문구 답십리동 3번지 125호,서울특별시,동대문구
라라동물의료원,839-7585,"서울특별시 구로구 구로동 309번지 2호 지상1층, 지하1층",서울특별시,구로구
라온동물병원,792-7585,서울특별시 용산구 이태원동 225번지 93호,서울특별시,용산구
라온동물병원,02-375-7575,서울특별시 마포구 성산동 94번지 4호 성미빌딩,서울특별시,마포구
라이프 동물병원,02-832-7975,서울특별시 영등포구 신길동 4945번지 래미안프레비뉴,서울특별시,영등포구
라임동물병원,02-2281-8122,서울특별시 성동구 홍익동 398번지 2호,서울특별시,성동구
라임동물병원,02-6227-7582,서울특별시 송파구 방이동 135번지 1호 세림빌딩 1층,서울특별시,송파구
라파엘동물병원,02-3444-7509,서울특별시 서초구 반포동 722번지 29호,서울특별시,서초구
라파엘종합동물병원,02-333-8632,서울특별시 서대문구 연희동 88번지 20호,서울특별시,서대문구
래이동물의료센터,556-7588,서울특별시 강남구 대치동 649번지 1층,서울특별시,강남구
러브펫 동물병원,02-2634-8275,서울특별시 영등포구 영등포동4가 442번지 타임스퀘어,서울특별시,영등포구
러브펫종합동물병원,02-837-8875,서울특별시 관악구 신림동 564번지 3호,서울특별시,관악구
레미 동물병원,02-470-4707,서울특별시 중랑구 면목동 172번지 93호,서울특별시,중랑구
레스펫동물병원,02-575-0855,서울특별시 서초구 양재동 2번지 43호 동리빌딩,서울특별시,서초구
로얄 도그앤캣 메디컬센터,468-6612,서울특별시 광진구 자양동 550번지 1호,서울특별시,광진구
로얄동물메디컬센터 강동,02-457-0075,서울특별시 강동구 길동 236번지 7호,서울특별시,강동구
