,hospital_name,hospital_phone,hospital_address
50,24시 쓰담쓰담 동물메디컬 센터,***********,경기도 용인시 기흥구 신갈동 69번지 7호
51,24시 아이동물메디컬센터,677-5262,경기도 부천시 원종동 229번지 8호 뉴월드프라자
52,24시 아프리카동물병원,***********,경기도 안산시 단원구 초지동 742번지 9호 메가쇼핑타운1
53,24시 안박동물병원,***********,서울특별시 강서구 등촌동 628번지 13호
54,24시 애니동물병원,926-8275,서울특별시 성북구 보문동5가 3번지 1호
55,24시 양주 힐 동물의료센터,031-859-8275,경기도 양주시 옥정동 1036번지 7호
56,24시 언제나 동물병원,062-571-0011,광주광역시 북구 매곡동 370번지 7호
57,24시 온누리동물메디컬센터,487-7500,경기도 안산시 단원구 고잔동 525번지 1호
58,24시 온동물의료센터,051-819-6061,부산광역시 부산진구 전포동 876번지 7호
59,24시 올리몰스 동물메디컬센터,063-275-7979,전라북도 전주시 덕진구 송천동1가 809번지 3호
60,24시 와이즈 동물메디컬센터,031-791-8253,"경기도 하남시 덕풍동 742번지 트윈렉스2, B-201,B-202,B-207,B-208호"
61,24시 웰니스 동물 의료센터,0322017575,경기도 부천시 중동 1128번지 그린프라자
62,24시 위드유 동물의료센터,***********,경기도 시흥시 은행동 646번지 태산W타워
63,24시 위드힐동물메디컬센터,031-523-3256,경기도 남양주시 별내동 931번지 e드림타워
64,24시 이지동물의료센터,032-348-7975,경기도 부천시 역곡동 49번지 5호 조양시티프라자
65,24시 인천동물병원 치료해주오,432-1432,인천광역시 남동구 논현동 637번지 2호 코아루파크
66,24시 중리 행복한동물병원,055-231-7555,경상남도 창원시 마산회원구 내서읍 호계리 177번지 7호 리치상가
67,24시 지구촌 동물메디컬 센터,869-7582,서울특별시 구로구 구로동 505번지 17호 유성빌딩
68,24시 청담우리 동물병원,02-541-7515,서울특별시 강남구 삼성동 70번지 6호
69,24시 청주이음동물의료센터,043-715-3133,"충청북도 청주시 흥덕구 비하동 220번지 1호 ,2층"
70,24시 초이스 동물병원,237-8275,충청북도 청주시 흥덕구 복대동 2929번지
71,24시 코끼리동물병원,063-902-7975,전라북도 전주시 완산구 평화동1가 708번지 2호
72,24시 코끼리동물의료센터,,전라북도 전주시 완산구 평화동1가 708번지 2호
73,24시 팔용feel동물병원,055-255-1275,경상남도 창원시 의창구 팔용동 42번지 36호 녹주빌딩 102~104호
74,24시 포항 이음동물의료센터,054-612-2475,경상북도 포항시 남구 효자동 587번지
75,24시 폴 동물병원,717-7558,경기도 성남시 분당구 정자동 15번지 2호
76,24시OK동물병원,02-569-7582,서울특별시 강남구 역삼동 766번지 20호 역삼프라자
77,24시SD동물영상의료센터,,서울특별시 중구 신당동 855번지 신당 파인힐 하나유보라
78,24시SD동물의료센터성동,02-2039-0303,서울특별시 중구 신당동 855번지 신당 파인힐 하나유보라
79,24시SNC동물메디컬센터,02-562-7582,서울특별시 강남구 역삼동 727번지 8호 1층
80,24시간 대전동물메디컬센터 숲,0428267584,대전광역시 유성구 봉명동 664번지
81,24시노아동물메디컬센터,062-222-0075,광주광역시 동구 대인동 320번지 1호
82,24시도안동물메디컬센터,042-710-1502,대전광역시 서구 도안동 1789번지
83,24시동물병원,281-7585,경기도 용인시 기흥구 구갈동 391번지 5호
84,24시동물병원,702-2475,제주특별자치도 제주시 도남동 81번지 7호
85,24시동탄윌동물의료센터,031-831-3531,경기도 화성시 반송동 93번지 9호
86,24시똑똑똑 동물메디컬센터,064-749-7585,제주특별자치도 제주시 연동 2333번지 8호
87,24시루시드동물메디컬센터,02-941-7900,서울특별시 강북구 미아동 42번지 11호 덕신빌딩 4층
88,24시마음든든동물병원,031-474-2475,경기도 안양시 만안구 석수동 168번지 27호
89,24시배곧스마트동물의료센터,031-432-1224,경기도 시흥시 배곧동 194번지 2호 센터프라자2
90,24시보듬동물병원,033-655-7975,강원도 강릉시 임당동 134번지 6호
91,24시분당리더스동물의료원,031-711-8275,"경기도 성남시 분당구 구미동 157번지 계영빌딩 202, 203호"
92,24시센트럴동물메디컬센터,02-3395-7975,서울특별시 성동구 행당동 318번지 36호
93,24시송도오케이동물의료센터,032-832-7975,인천광역시 연수구 송도동 311번지 랜드마크시티센트럴더샵
94,24시스마일동물의료센터,031-633-7582,경기도 이천시 진리동 27번지 3호 다나빌딩
95,24시스마트동물메디컬센터,02-387-7582,서울특별시 은평구 응암동 91번지 5호
96,24시쎈텀동물병원,031-992-8275,경기도 김포시 고촌읍 신곡리 880번지 1호
97,24시아프리카동물메디컬센터,3665-7975,서울특별시 강서구 등촌동 우장산롯데캐슬 307 1003
98,24시알파동물메디컬센터,0535727585,대구광역시 서구 내당동 469번지 1호
99,24시야간응급동물병원펫츠올,055-240-5800,경상남도 창원시 마산합포구 신포동2가 28번지 대우백화점 별과1층
100,24시연동물의료센터,,서울특별시 강서구 화곡동 1060번지 30호 남서울수영장
101,24시예담동물의료센터,0269527519,서울특별시 은평구 역촌동 7번지 15호 대광빌딩
102,24시예스동물병원,534-3475,서울특별시 서초구 반포동 20번지 45호 반포자이프라자 133호
103,24시월드펫동물메디컬센터,0226987582,서울특별시 양천구 신월동 602번지 1호
104,24시위드동물병원(정왕동동물의료센터),031-488-8075,경기도 시흥시 정왕동 1734번지 7호 제일프라자
105,24시잠실ON동물의료센터,02-418-0724,서울특별시 송파구 잠실동 175번지 6호 J타워
106,24시청주i동물병원,043)214-9975,충청북도 청주시 청원구 율량동 1070번지
107,24시청주나음동물메디컬,***********,"충청북도 청주시 상당구 용암동 1703번지 106,107,"
108,24시큰사랑동물병원,031-8011-3690,경기도 이천시 중리동 468번지 24호
109,24시퍼스트동물의료센터,032-435-6333,인천광역시 미추홀구 주안동 929번지 16호 보미 리즌빌
110,24시프라임동물병원,053-631-9966,대구광역시 달서구 대곡동 964번지
111,24시해든동물메디컬센터,032-715-7579,경기도 부천시 중동 1106번지 위브더스테이트
112,24시핸즈동물의료센터,031-8677-2115,"경기도 화성시 오산동 969번지 3호 201,202호"
113,24아프리카동물메디컬센터,042)486-7581,"대전광역시 서구 탄방동 605번지 2,3층"
114,24일산우리동물병원,031-913-5550,
115,25세 동물병원,054-974-0975,경상북도 칠곡군 왜관읍 석전리 536번지 8호
116,25시 동물병원,635-0402,부산광역시 남구 문현동 359번지 21호
117,25시 동물병원,031-731-0025,경기도 성남시 중원구 은행동 1589번지
118,25시 종합동물병원,***********,경기도 오산시 오산동 869번지 36호
119,25시 죽곡동물병원,***********,대구광역시 달성군 다사읍 죽곡리 813번지
120,25시동물병원,594-3119,경기도 남양주시 화도읍 마석우리 271번지 3호
121,25시동물병원,935-0075,서울특별시 노원구 중계동 363번지 대림벽산상가
122,25시동물의료센터,02-419-1351,서울특별시 송파구 삼전동 5번지 3호 남관빌딩
123,25시종합동물병원,053-651-1101,대구광역시 달서구 송현동 798번지 244호 1층
124,365 마음동물병원,02-2611-5223,서울특별시 구로구 궁동 170번지 11호 2층
125,365 신원당 동물병원,***********,경기도 고양시 덕양구 성사동 706번지 4호 1층 365 신원당동물병원
126,365동물병원,02-6402-0365,서울특별시 도봉구 방학동 713번지 35호
127,365동물병원 분당점,718-0365,경기도 성남시 분당구 구미동 30번지
128,365동물병원위례점,***********,경기도 성남시 수정구 창곡동 513번지 에이플타워
129,365동판교동물병원,031-781-7582,경기도 성남시 분당구 백현동 564번지 5호 (주)코레드디엔씨
130,4u동물메디컬센타,364-8220,경기도 안산시 단원구 고잔동 772번지 1호 크리스탈빌딩
131,9월의 소원 동물병원,032-710-5956,"인천광역시 남동구 구월동 1199번지 1호 그랜드프라자 204,205호"
132,ABC동물병원,051-761-2502,부산광역시 수영구 광안동 117번지 10호
133,ACE동물병원,032-205-7582,인천광역시 연수구 송도동 23번지 4호 더샵 센트럴파크2 B 101
134,AK동물병원,033-242-2112,강원도 춘천시 중앙로3가 66번지
135,AP동물병원,031-263-0085,경기도 용인시 수지구 동천동 886번지 1호
136,AVC 동물메디컬센터,032-547-4788,인천광역시 계양구 계산동 919번지
137,AtoZ동물병원,031-8016-8206,경기도 성남시 분당구 백현동 530번지 알파리움2단지
138,BAC 바른동물병원,***********,경상북도 안동시 정하동 371번지 4호
139,BB동물병원,052-211-7599,울산광역시 울주군 범서읍 구영리 386번지 1호
140,BL불임우병원,,경기도 화성시 우정읍 조암리 203번지 11호
141,BS조은동물병원,544-7588,부산광역시 해운대구 반송동 62번지 508호
142,Be 동물병원,032-349-7975,경기도 부천시 괴안동 87번지 1호 홈타운프라자
143,C.T.종합동물병원,02-6375-0075,서울특별시 마포구 신공덕동 159번지 신공덕2차삼성래미안
144,CH동물병원,02-488-7510,서울특별시 강동구 천호동 233번지 145호 19통 4반
145,CJ동물병원,032-323-4999,경기도 부천시 중동 1134번지 새롬프라자 6차
146,CM 동물병원,043-533-8868,충청북도 진천군 광혜원면 광혜원리 529번지 13호 1층
147,Central 동물병원,032-815-7582,인천광역시 연수구 송도동 23번지 4호 더샵센트럴파크2차상가 C 128
148,D&C동물병원,032)434-7525,인천광역시 남동구 간석동 573번지 1호 성우네오빌
149,DK동물병원,***********,경상북도 칠곡군 동명면 금암리 1364번지 130호
150,DS동물병원,02-837-0837,서울특별시 관악구 신림동 1668번지 14호 1층
151,Dr. dog 동물영상의료센터,932-0075~6,경기도 고양시 일산동구 정발산동 1294번지 4호
152,Dr. 오즈 동물병원,701-8225,경기도 성남시 분당구 서현동 312번지 1호
153,Dr.G 동물병원,***********,인천광역시 강화군 선원면 창리 493번지 희년빌딩
154,Dr.JK 동물병원,,경기도 고양시 일산동구 장항동 742번지 한라밀라트 A 102
155,Dr.J동물병원,031-215-7975,경기도 용인시 기흥구 영덕동 985번지 1호
156,Dr.K 종합동물병원,***********,충청남도 아산시 둔포면 석곡리 1805번지 아산테크노밸리이지더원8단지아파트
157,Dr.Mini 하늘다람쥐 전문병원,070-7796-0333,경기도 파주시 문발동 617번지 1호
158,Dr.dog동물의료센터,031-932-0075,경기도 고양시 일산동구 정발산동 1294번지 5호
159,Dr.남동물병원,236-0575,광주광역시 서구 화정동 825번지 10호
160,Dr.수동물병원,02-785-7582,서울특별시 영등포구 여의도동 42번지 한양아파트
161,Dr.윤24시동물병원,02-359-2020,서울특별시 은평구 대조동 187번지 24호
162,Dr.주 동물병원,02-470-0030,서울특별시 강동구 둔촌동 517번지 4호
163,E 동물의료원,043-544-8514,충청북도 보은군 마로면 관기리 388번지 4호
164,FM 동물메디컬센터,031-979-7975,경기도 고양시 덕양구 화정동 970번지 1호 대감빌딩
165,GD동물병원,02-429-8822,서울특별시 강동구 상일동 341번지 2호
166,H 동물병원,02-984-7588,서울특별시 강북구 미아동 1357번지 6호 미아프라자
167,Helix ADI Center : 헬릭스 영상진단센터,031-978-7575,경기도 고양시 덕양구 행신동 1086번지
168,I-pet 동물병원,786-7582,서울특별시 영등포구 여의도동 47번지 여의도자이
169,J&C 동물병원,031-643-5545,경기도 이천시 설성면 신필리 244번지 20호
170,J.H 동물병원,***********,대전광역시 서구 갈마동 762번지
171,JA 임상병리 동물병원,031-347-0546,경기도 안양시 만안구 안양동 510번지 6호 지하 1층
172,JM서울동물병원(산업동물출장진료전문),***********,경상남도 함안군 칠서면 청계리 736번지 7호 칠서편의점
173,Jpet동물병원,051-853-7579,부산광역시 연제구 연산동 844번지 28호
174,J동물병원,032-566-7582,인천광역시 서구 청라동 157번지 15호 커낼힐스빌
175,KABB 동물병원,***********,대구광역시 수성구 지산동 1207번지 12호
176,KB동물병원(출장진료전문),***********,경상남도 진주시 사봉면 봉곡리 49번지 6호
177,KP 양계연구소,***********,전라북도 군산시 대야면 지경리 806번지
178,KRA 렛츠런파크제주 동물병원,786-8341,제주특별자치도 제주시 애월읍 유수암리 1206번지 한국마사회제주경마본부
179,KRA 장수동물병원,063-350-3761,전라북도 장수군 장계면 명덕리 1번지 장수경주마목장
180,KRH동물병원,***********,경기도 김포시 감정동 659번지 삼환아파트 상가 지하8
181,KU건국동물병원,335-1023,충청남도 예산군 예산읍 산성리
182,LOVE MY PET 동물병원,382-7582,서울특별시 은평구 응암동 74번지 14호
183,MK동물병원,***********,울산광역시 울주군 온산읍 덕신리 561번지
184,MS동물병원,***********,부산광역시 연제구 연산동 104번지 82호
185,My pet 동물병원,063-538-8575,전라북도 정읍시 수성동 837번지 마이펫종합동물병원
186,NS대흥동물병원,***********,충청남도 논산시 부적면 덕평리 35번지 10호
187,O.K 동물병원,055-546-7588,경상남도 창원시 진해구 여좌동 796번지 6호
188,O.K 동물병원,546-7588,경상남도 창원시 진해구 여좌동 796번지 6호
189,OK동물병원,***********,전라북도 무주군 무주읍 당산리 1229번지 무주공용버스터미널
190,OK동물병원,***********,전라북도 진안군 진안읍 군하리 330번지 18호
191,PET119동물병원,284-6994,전라남도 목포시 상동 854번지 8호
192,PET25시동물병원,655-6941,경기도 평택시 평택동 59번지 39호
193,PMC,031-635-7620,경기도 이천시 대월면 사동리 30번지 1호
194,PNH 동물병원,070-4256-8656,충청남도 홍성군 홍성읍 옥암리 8번지 5호
195,ROAR clinic,***********,경기도 하남시 덕풍동 833번지 1호 현대지식산업센터 한강미사
196,SKY동물병원,2666-5667,서울특별시 강서구 방화동 259번지 대림아파트 208 801
197,S동물병원,0323225222,경기도 부천시 상동 542번지 4호 상동 동양파라곤
198,S동물의료센터,03180033232,경기도 화성시 반송동 41번지 6호
199,THE힘찬동물병원,***********,경기도 용인시 기흥구 중동 1108번지 1호
200,TLC 동물의료센터,032-323-2475,경기도 부천시 중동 1058번지 5호 동화빌딩
201,The Ark(디아크),,서울특별시 강남구 논현동 10번지 5호
202,The행복한동물병원,055-242-8988,경상남도 창원시 마산회원구 내서읍 호계리 177번지 7호 호계리치프라자
203,UN동물의료센터,051-624-2475,부산광역시 남구 대연동 1745번지 9호
204,VIP 동물의료센터,953-0075,서울특별시 성북구 동소문동6가 3번지 1호 시티플레이스
205,VIP 반려동물 암센터,02-511-7522,서울특별시 강남구 청담동 46번지 베디베로스퀘어 2층
206,VIP동물의료센터,02-2215-7522,서울특별시 동대문구 장안동 376번지 3호
207,VIP동물의료센터 서초동작점,02-525-3102,"서울특별시 서초구 방배동 442번지 3호 대광빌딩 1,2층"
208,VIP동물의료센터 청담점,02-511-7522,서울특별시 강남구 청담동 46번지 베디베로스퀘어
209,VIP동물한방재활의학센터by.Dr.신사경,02-511-7522,서울특별시 강남구 청담동 46번지 베디베로스퀘어 7층
210,W 인천심장동물병원,032-565-8270,인천광역시 서구 청라동 157번지 21호 청라한신더휴커낼웨이
211,WE 동물병원,031-269-9975,경기도 수원시 장안구 정자동 541번지 21호
212,Wellness clinic 동물병원,031-283-1357,경기도 용인시 기흥구 보정동 1019번지 237호
213,Wiz-Pet 동물병원,***********,경기도 고양시 일산동구 백석동 1242번지 롯데아우렛 1층
214,W동물의료센터,051-626-5050,부산광역시 남구 용호동 164번지
215,YJ Animal Clinic,***********,경기도 수원시 권선구 권선동 1022번지 7호
216,YS 동물병원,***********,광주광역시 광산구 서봉동 169번지 7호
217,ZOO동물병원,914-5545,서울특별시 성북구 정릉동 16번지 162호
218,e-동물 메디컬 센터,***********,전라남도 무안군 삼향읍 남악리 2085번지
219,on동물병원,055-646-1550,경상남도 통영시 북신동 50번지 9호
220,sun동물병원,031-234-5550,경기도 수원시 권선구 곡반정동 558번지 2호
221,two현동물병원,031-657-4671,경기도 평택시 동삭동 662번지 4호
222,y동물병원,053-791-7532,대구광역시 수성구 시지동 258번지 13호 1층
223,가경 나음 동물병원,236-7975,충청북도 청주시 흥덕구 가경동 2225번지
224,가경종합동물병원,,충청북도 청주시흥덕구 가경동 1352번지
225,가까운동물병원,288-7533,충청북도 청주시 서원구 분평동 742번지
226,가까운동물병원,,충청북도 청주시흥덕구 분평동 1368번지
227,가나다 동물병원,0517157979,부산광역시 사상구 주례동 191번지 17호
228,가나다동물병원,***********,전라남도 해남군 해남읍 고도리 473번지 1호
229,가나동물병원,6650075,경기도 부천시 송내동 393번지 1호
230,가나동물병원,534-7582,충청남도 아산시 온천동 80번지 5호
231,가나동물병원,954-3395,대구광역시 북구 산격동 1216번지 4호
232,가나동물병원,02-441-8588,서울특별시 강동구 암사동 451번지 12호 5통 8반
233,가나동물병원,3491-4748,서울특별시 도봉구 방학동 665번지 11호 2통 6반 삼익세라믹아파트 105 503
234,가나동물병원,721-7582,경기도 성남시 수정구 신흥동 5536번지
235,가나동물병원,"742-4287,8",충청남도 논산시 연무읍 안심리 1번지 155호
236,가나동물병원,,경상북도 구미시 원평동 1029번지 2호
237,가나종합동물병원,***********,경상북도 경산시 옥산동 758번지 7호
238,가나종합동물병원,2645-7588,서울특별시 양천구 목동 907번지 현대월드타워
239,가나종합동물병원,,경상북도 포항시 북구 대흥동 619번지 42호 46통 4반
240,가능동물병원,875-1476,경기도 의정부시 가능동 668번지 13호 3통 5반
241,가든펫동물병원,02-373-5555,서울특별시 은평구 증산동 202번지 27호 지하1층
242,가락종합동물병원,02-413-0075,서울특별시 송파구 방이동 226번지 7호 건양빌딩
243,가람 동물병원,***********,충청북도 청주시 서원구 수곡동 79번지 7호 김명수내과의원
244,가람가축병원,054-432-2292,경상북도 김천시 황금동 17번지 12호
245,가람동물병원,743-1947,경상북도 경주시 외동읍 입실리 1046번지 17호
246,가람동물병원,02-484-5502,서울특별시 강동구 성내동 550번지 2호 예원빌딩
247,가람동물병원,055-292-7375,경상남도 창원시 마산회원구 합성동 158번지 9호
248,가람동물병원,055-292-7375,경상남도 창원시 마산회원구 합성동 134번지 2호
249,가람동물병원,0613327975,전라남도 나주시 빛가람동 283번지 3호
250,가람동물병원,031-906-0976,경기도 고양시 일산동구 마두동 796번지 강촌마을7단지
251,가람동물병원,031-558-7582,경기도 구리시 인창동 346번지 40호
252,가람동물병원,053-639-6366,대구광역시 달서구 상인동 240번지 9호
253,가람동물병원,3431397,경기도 부천시 괴안동 109번지 5호 조양프라자
254,가람동물병원,064-794-7571,제주특별자치도 서귀포시 대정읍 하모리 2142번지 7호 가람동물병원
255,가람동물병원,535-4123,경상북도 상주시 복룡동 293번지 37호
256,가람동물병원,755-3625,경상남도 진주시 칠암동 296번지 3호
257,가람동물병원,981-0123,경기도 김포시 양촌읍 양곡리 64번지
258,가로수동물병원,549-7579,서울특별시 강남구 신사동 549번지 1호 1층
259,가로수동물병원,372-7975,광주광역시 서구 화정동 808번지 13호
260,가믄장 동물병원,751-8880,충청남도 금산군 금산읍 상리 127번지 4호
261,가야농업협동조합동물병원,932-7750,경상남도 합천군 가야면 황산리 351번지
262,가야동물병원,352-4663,경상남도 밀양시 내이동 1559번지 22호
263,가야동물병원,054-430-8275,경상북도 김천시 남산동 12번지 3호
264,가야동물병원,031-234-8318,경기도 수원시 팔달구 매산로3가 63번지 3호
265,가야동물병원,655-3500,경기도 부천시 심곡동 367번지 12호
266,가야동물병원,251-8597,광주광역시 북구 우산동 206번지 8호
267,가야종합동물병원,894-7559,부산광역시 부산진구 개금동 186번지 22호
268,가양동물의료센터,0426368855,대전광역시 동구 가양동 416번지 9호
269,가양쿨펫동물병원,3665-1838,서울특별시 강서구 가양동 17번지 파크리오 119 403
270,가온동물병원,***********,부산광역시 서구 서대신동1가 141번지 1호
271,가온동물병원,553-5534,충청남도 천안시 동남구 청당동 153번지 15호
272,가온동물병원,053-958-0075,대구광역시 북구 서변동 1746번지 9호
273,가온동물병원,02-2643-2777,서울특별시 양천구 목동 721번지 1호 목동한강팰리스
274,가온동물병원,***********,전라북도 김제시 신풍동 44번지 10호
275,가온동물병원,055-387-8256,경상남도 양산시 물금읍 가촌리 1280번지 3호
276,가온동물병원,02-6953-7512,서울특별시 강동구 고덕동 172번지 9호
277,가온동물의료센터,055-274-7575,경상남도 창원시 성산구 가음동 37번지 7호
278,가온동물의료센터,032-566-7589,인천광역시 서구 가정동 619번지 7호
279,가인동물병원,***********,충청북도 충주시 연수동 397번지
280,가재울봉쥬르동물병원,02-305-8275,서울특별시 서대문구 북가좌동 304번지 29호
281,가정동물병원,032-575-0833,인천광역시 서구 가정동 517번지 32호
282,가족동물병원,***********,경상북도 영주시 가흥동 1549번지 7호
283,가족동물병원,063-446-6688,전라북도 군산시 수송동 820번지 6호 군산수송동우체국
284,가좌동물병원,307-4633,서울특별시 서대문구 북가좌동 308번지 1호
285,가축유전자원센터 동물병원,055-960-3500,경상남도 함양군 서상면 상남리 1782번지 가축유전자원센터
286,가평가축병원,582-2412,경기도 가평군 가평읍 대곡리 230번지 3호
287,가평축산농협 동물병원,031-582-4111,경기도 가평군 가평읍 대곡리 166번지 2호 가평축산농협
288,갈매동물병원,031-529-5088,
289,감계동물병원,055-291-8275,경상남도 창원시 의창구 북면 감계리 236번지 5호
290,감자동물병원,,대구광역시 수성구 매호동 1344번지 21호
291,감춘영가축병원,,경상남도 남해군 남해읍 서변리 138번지 2호 가축병원
292,갑을동물병원,784-7844,부산광역시 해운대구 재송동 1098번지 1호 14통 2반 현대맨션
293,강 동물병원,***********,경기도 용인시 처인구 백암면 백암리 436번지 1호
294,강 동물병원(산업동물출장진료 동물병원),342-3060,경상남도 김해시 진영읍 여래리 700번지 77호
295,강남25동물병원,02-545-8575,서울특별시 강남구 논현동 90번지 6호 로이빌딩
296,강남가축병원,033-645-8871,강원도 강릉시 포남동 1155번지 14호
297,강남다온동물병원,02-576-1239,"서울특별시 강남구 도곡동 545번지 6호 1층,2층"
298,강남동물메디컬센터,031-764-7555,경기도 광주시 퇴촌면 관음리 525번지 14호
299,강남동물병원,031-906-7575,경기도 고양시 일산동구 식사동 670번지 28호
300,강남동물병원,631-7582,충청남도 홍성군 홍성읍 고암리 536번지 1호
301,강남동물병원,,전라남도 광양시 광양읍 덕례리 1665번지 16호
302,강남동물병원,031-774-8375,경기도 양평군 서종면 문호리 768번지 11호
303,강남동물병원,741-3012,경기도 성남시 중원구 금광동 3661번지
304,강남동물병원,031-692-7114,경기도 평택시 팽성읍 안정리 113번지 224호
305,강남동물병원,***********,경기도 화성시 향남읍 행정리 495번지 1호
306,강남동물병원,267-0025,울산광역시 남구 달동 1328번지 3호
307,강남동물병원,441-1183,경상북도 구미시 원평동 1060번지 14호
308,강남동물병원,399-7599,경기도 군포시 산본동 1137번지 3호 옥산프라자
309,강남동물병원,514-7582,서울특별시 강남구 논현동 234번지 26호 상하빌딩 1층
310,강남동물병원,723-2005,제주특별자치도 제주시 삼도이동 214번지 20호
311,강남동물병원,031-897-7582,경기도 용인시 수지구 동천동 344번지 2호 제일프라자 101~102호
312,강남메디컬동물병원,054-901-1100,경상북도 안동시 정하동 251번지 2호
313,강남애니동물메디컬센터,031-795-0903,경기도 하남시 신장동 315번지 2호
314,강남예치과동물병원,02-517-5585,서울특별시 강남구 삼성동 9번지 5호
315,강남종합동물병원,031-283-0775,경기도 용인시 기흥구 신갈동 38번지 5호
316,강남종합동물병원,033-263-0513,강원도 춘천시 석사동 765번지 10호
317,강내동물병원,260-2145,충청북도 청원군 강내면 탑연리 173번지 5호
